meeting_date,question_text,outcome,sponsor,ticker,is_big_pharma,meeting_date
2024-04-12,Does the evidence support the use of MRD as an accelerated approval endpoint in MM clinical trials?,yes,FDA Oncology Center of Excellence,,0,2024-04-12
2023-04-28,"As FDA reviews the proposed indication for olaparib in combination with abiraterone for initial treatment of mCRPC, should the indication be restricted to patients whose tumors have a BRCA mutation?",yes,AstraZeneca,AZN,1,2023-04-28
2026-04-30,"Based on the results of SERENA-6, has clinically meaningful benefit for camizestrant been demonstrated for the treatment of patients with HR+/HER2- metastatic breast cancer with a tumor ESR1 mutation detected while on aromatase inhibitor and CDK4/6 inhibitor treatment, prior to radiographic progression?",no,AstraZeneca,AZN,1,2026-04-30
2026-04-30,"Based on the CAPItello-281 results, does the benefit of adding capivasertib to abiraterone and prednisone outweigh the risk for the proposed indication?",yes,AstraZeneca,AZN,1,2026-04-30
2020-08-13,Do the available data support the efficacy of remestemcel-L in pediatric patients with steroid-refractory aGVHD?,yes,Mesoblast,MESO,0,2020-08-13
2020-02-26,Do the results of PCM301 represent a favorable benefit/risk profile for TOOKAD in patients with low-risk early stage prostate cancer?,no,Steba Biotech,,0,2020-02-26
2020-02-26,Is the benefit/risk profile of ramucirumab plus erlotinib favorable for patients with untreated metastatic EGFR-positive non-small cell lung cancer?,yes,Eli Lilly,LLY,1,2020-02-26
2021-06-24,Should a regulatory decision on retifanlimab for the treatment of advanced or metastatic SCAC be deferred until further data are available from clinical trial POD1UM- 303?,yes,Incyte,INCY,0,2021-06-24
2024-03-14,Do the benefits of imetelstat outweigh its risks for the treatment of transfusion dependent anemia in adult patients with International Prognosis Scoring System (IPSS) low- to intermediate-1 risk MDS who have not responded to or have lost response to or are ineligible for erythropoiesis-stimulating agents?,yes,Geron,GERN,0,2024-03-14
2024-03-15,"Is the risk-benefit assessment for ciltacabtagene autoleucel for the proposed indication, favorable?",yes,Legend Biotech / Janssen,LEGN,1,2024-03-15
2024-03-15,"Is the risk-benefit assessment for idecabtagene vicleucel for the proposed indication, favorable?",yes,Bristol Myers Squibb,BMY,1,2024-03-15
2023-03-09,"Given the results of the POLARIX trial, does polatuzumab vedotin-piiq have a favorable benefit-risk profile in patients with previously untreated LBCL, including DLBCL NOS?",yes,Roche,RHHBY,1,2023-03-09
2025-05-20,Are the STARGLO population and trial results applicable to the proposed U.S. patient population?,no,Roche,RHHBY,1,2025-05-20
2025-05-20,Do the results from the AQUILA trial provide sufficient evidence to support a favorable benefit-risk profile for Dara SC for patients with high-risk SMM?,yes,Johnson & Johnson,JNJ,1,2025-05-20
2025-05-20,Is the overall benefit-risk of the investigational therapy UGN-102 favorable in patients with recurrent LG-IR-NMIBC?,no,UroGen Pharma,URGN,0,2025-05-20
2025-05-20,Are the results from TALAPRO-2 sufficient to conclude a favorable benefit-risk profile for adding talazoparib to enzalutamide in patients with non-homologous recombination repair mutated (non-HRRm) metastatic castration-resistant prostate cancer (mCRPC)?,no,Pfizer,PFE,1,2025-05-20
2023-10-04,Has the Applicant provided sufficient evidence to conclude that DFMO improves event-free survival in patients with high-risk neuroblastoma?,yes,US WorldMeds,,0,2023-10-04
2023-10-05,"Can the primary endpoint, progression-free survival (PFS) per blinded independent central review (BICR), be reliably interpreted in CodeBreak200?",no,Amgen,AMGN,1,2023-10-05
2022-09-22,Do the current benefits of poziotinib outweigh its risks for the treatment of patients with NSCLC with HER2 exon 20 insertion mutations?,no,Spectrum Pharmaceuticals,,0,2022-09-22
2022-09-22,"Given the potential detriment in overall survival, failure to demonstrate a progression-free survival benefit, and lack of an appropriate dose, is the benefit-risk profile of melphalan flufenamide favorable for the currently indicated patient population?",no,Oncopeptides,ONCO,0,2022-09-22
2022-09-22,"Given the potential detriment in overall survival, duvelisib-associated toxicity, concerns with the selected dose, and the safety issues with the PI3K inhibitor class, is the benefit-risk profile of duvelisib favorable in patients with relapsed or refractory CLL or SLL after at least two prior therapies?",no,Secura Bio,,0,2022-09-22
2024-09-26,Is a risk benefit assessment favorable for the use of PD-1 inhibitors in first line advanced HER2 negative microsatellite stable gastric/GEJ adenocarcinoma in patients with PD-L1 expression < 1?,no,Bristol Myers Squibb,BMY,1,2024-09-26
2024-09-26,Is the risk: benefit assessment favorable for the use of anti-PD-1 antibodies in first line unresectable or metastatic esophageal squamous cell carcinoma with PD-L1 expression <1?,no,Bristol Myers Squibb,BMY,1,2024-09-26
2023-02-09,Will the data from the proposed single arm trials enrolling a total of 130 patients be sufficient to characterize the benefits and risks of dostarlimab in the curative intent setting for patients with dMMR/MSI-H LARC?,yes,GSK,GSK,1,2023-02-09
2020-07-14,Does the demonstrated benefit of belantamab mafodotin outweigh the risks in the proposed patient population with multiple myeloma?,yes,GSK,GSK,1,2020-07-14
