question_number,question_text,yes,no,abstain,total_votes,outcome,vote_count_sane,source,meeting_date
4,Does the evidence support the use of MRD as an accelerated approval endpoint in MM clinical trials?,12,0,0,12,yes,True,april-12-2024-meeting-oncologic-drugs-advisory-committee-meeting-announcement-04122024,2024-04-12
1,"As FDA reviews the proposed indication for olaparib in combination with abiraterone for initial treatment of mCRPC, should the indication be restricted to patients whose tumors have a BRCA mutation?",11,1,1,13,yes,True,april-28-2023-meeting-oncologic-drugs-advisory-committee-meeting-announcement-04282023,2023-04-28
1,"Based on the results of SERENA-6, has clinically meaningful benefit for camizestrant been demonstrated for the treatment of patients with HR+/HER2- metastatic breast cancer with a tumor ESR1 mutation detected while on aromatase inhibitor and CDK4/6 inhibitor treatment, prior to radiographic progression?",3,6,0,9,no,True,april-30-2026-meeting-oncologic-drugs-advisory-committee-meeting-announcement-04302026,2026-04-30
1,"Based on the CAPItello-281 results, does the benefit of adding capivasertib to abiraterone and prednisone outweigh the risk for the proposed indication?",7,1,1,9,yes,True,april-30-2026-meeting-oncologic-drugs-advisory-committee-meeting-announcement-04302026,2026-04-30
3,Do the available data support the efficacy of remestemcel-L in pediatric patients with steroid-refractory aGVHD?,8,2,0,10,yes,True,august-13-2020-meeting-oncologic-drugs-advisory-committee-meeting-announcement-08132020-08132020,2020-08-13
3,Should additional clinical trial(s) demonstrating applicability to U.S. patients and U.S. medical care be required prior to a final regulatory decision?,14,1,0,15,yes,True,february-10-2022-meeting-oncologic-drugs-advisory-committee-meeting-announcement-02102022,2022-02-10
1,Do the results of PCM301 represent a favorable benefit/risk profile for TOOKAD in patients with low-risk early stage prostate cancer?,2,13,0,15,no,True,february-26-2020-meeting-oncologic-drugs-advisory-committee-meeting-announcement-02262020-02262020,2020-02-26
2,Is the benefit/risk profile of ramucirumab plus erlotinib favorable for patients with untreated metastatic EGFR-positive non-small cell lung cancer?,6,5,0,11,yes,True,february-26-2020-meeting-oncologic-drugs-advisory-committee-meeting-announcement-02262020-02262020,2020-02-26
2,Should a regulatory decision on retifanlimab for the treatment of advanced or metastatic SCAC be deferred until further data are available from clinical trial POD1UM- 303?,13,4,0,17,yes,True,june-24-2021-meeting-oncologic-drugs-advisory-committee-meeting-announcement-06242021-06242021,2021-06-24
2,Do the benefits of imetelstat outweigh its risks for the treatment of transfusion dependent anemia in adult patients with International Prognosis Scoring System (IPSS) low- to intermediate-1 risk MDS who have not responded to or have lost response to or are ineligible for erythropoiesis-stimulating agents?,12,2,0,14,yes,True,march-14-2024-meeting-oncologic-drugs-advisory-committee-meeting-announcement-03142024,2024-03-14
3,"Is the risk-benefit assessment for ciltacabtagene autoleucel for the proposed indication, favorable?",11,0,0,11,yes,True,march-15-2024-meeting-oncologic-drugs-advisory-committee-meeting-announcement-03152024,2024-03-15
3,"Is the risk-benefit assessment for idecabtagene vicleucel for the proposed indication, favorable?",8,3,0,11,yes,True,march-15-2024-meeting-oncologic-drugs-advisory-committee-meeting-announcement-03152024,2024-03-15
3,"Given the results of the POLARIX trial, does polatuzumab vedotin-piiq have a favorable benefit-risk profile in patients with previously untreated LBCL, including DLBCL NOS?",11,2,0,13,yes,True,march-9-2023-meeting-oncologic-drugs-advisory-committee-meeting-announcement-03092023,2023-03-09
2,Are the STARGLO population and trial results applicable to the proposed U.S. patient population?,1,8,0,9,no,True,may-20-21-2025-meeting-oncologic-drugs-advisory-committee-05202025,2025-05-20
3,Do the results from the AQUILA trial provide sufficient evidence to support a favorable benefit-risk profile for Dara SC for patients with high-risk SMM?,6,2,0,8,yes,True,may-20-21-2025-meeting-oncologic-drugs-advisory-committee-05202025,2025-05-20
2,Is the overall benefit-risk of the investigational therapy UGN-102 favorable in patients with recurrent LG-IR-NMIBC?,4,5,0,9,no,True,may-20-21-2025-meeting-oncologic-drugs-advisory-committee-05202025,2025-05-20
2,Are the results from TALAPRO-2 sufficient to conclude a favorable benefit-risk profile for adding talazoparib to enzalutamide in patients with non-homologous recombination repair mutated (non-HRRm) metastatic castration-resistant prostate cancer (mCRPC)?,0,8,0,8,no,True,may-20-21-2025-meeting-oncologic-drugs-advisory-committee-05202025,2025-05-20
3,Has the Applicant provided sufficient evidence to conclude that DFMO improves event-free survival in patients with high-risk neuroblastoma?,14,6,0,20,yes,True,october-4-2023-meeting-oncologic-drugs-advisory-committee-meeting-announcement-10042023,2023-10-04
1,"Can the primary endpoint, progression-free survival (PFS) per blinded independent central review (BICR), be reliably interpreted in CodeBreak200?",2,10,0,12,no,True,october-5-2023-meeting-oncologic-drugs-advisory-committee-meeting-announcement-10052023,2023-10-05
2,Do the current benefits of poziotinib outweigh its risks for the treatment of patients with NSCLC with HER2 exon 20 insertion mutations?,4,9,0,13,no,True,september-22-23-2022-meeting-oncologic-drugs-advisory-committee-announcement-09222022,2022-09-22
2,"Given the potential detriment in overall survival, failure to demonstrate a progression-free survival benefit, and lack of an appropriate dose, is the benefit-risk profile of melphalan flufenamide favorable for the currently indicated patient population?",2,14,0,16,no,True,september-22-23-2022-meeting-oncologic-drugs-advisory-committee-announcement-09222022,2022-09-22
2,"Given the potential detriment in overall survival, duvelisib-associated toxicity, concerns with the selected dose, and the safety issues with the PI3K inhibitor class, is the benefit-risk profile of duvelisib favorable in patients with relapsed or refractory CLL or SLL after at least two prior therapies?",4,8,0,12,no,True,september-22-23-2022-meeting-oncologic-drugs-advisory-committee-announcement-09222022,2022-09-22
2,Is a risk benefit assessment favorable for the use of PD-1 inhibitors in first line advanced HER2 negative microsatellite stable gastric/GEJ adenocarcinoma in patients with PD-L1 expression < 1?,2,10,1,13,no,True,september-26-2024-meeting-oncologic-drugs-advisory-committee-meeting-announcement-09262024,2024-09-26
2,Is the risk: benefit assessment favorable for the use of anti-PD-1 antibodies in first line unresectable or metastatic esophageal squamous cell carcinoma with PD-L1 expression <1?,1,11,1,13,no,True,september-26-2024-meeting-oncologic-drugs-advisory-committee-meeting-announcement-09262024,2024-09-26
2,"Given the observed toxicities with this class, previous randomized trials with a potential detriment in OS, and a narrow range between effective and toxic doses, should future approvals of PI3K inhibitors be supported by randomized data?",16,0,1,17,yes,True,updated-information-april-21-22-2022-meeting-oncologic-drugs-advisory-committee-meeting-announcement,2022-04-21
